"Designator","Footprint","Quantity","Value","LCSC Part #"
"C1",805,1,"10uF","C15850"
"C10, C6, C8, C9",805,4,"0.1uF","C49678"
"C11, C12",1206,2,"0.1uF","C24497"
"C2",805,1,"22uF","C45783"
"C4, C5",1206,2,"1uF","C1848"
"C7",1206,1,"22uF","C12891"
"D1",805,1,"WIFI","C2296"
"D2",805,1,"ACT","C2296"
"D3",805,1,"3.3V","C84256"
"D4",805,1,"5V","C84256"
"J1","CONN_5-104652-2_TYCO",1,"5-104652-2",
"J2","PinHeader_1x04_P1.00mm_Vertical_SMD_Pin1Right",1,"PRG",
"Q1","SOT-23",1,"BSS138","C8545"
"R10, R12, R2, R20, R21, R4, R6, R7",805,8,"10K","C17414"
"R11, R8, R9",805,3,0,
"R15, R16, R3",805,3,470,"C17710"
"R5",805,1,"1K","C17513"
"SW1, SW2","SW_Push_1P1T_XKB_TS-1187A",2,"TS-1187A-B-A-B","C318884"
"U1","SOIC-8_3.9x4.9mm_P1.27mm",1,"TashTalk",
"U3","TO-252-3_TabPin2",1,"AMS1117-3.3",
"U4","ESP32-WROOM-32D",1,"ESP32-WROOM-32DM113DH6400PH3Q0",
"U5","TSSOP-8_3x3mm_P0.65mm",1,"74LVC2G125",
"U6","TSSOP14_PW_TEX",1,"TXU0304PWR",
